"lang"
{
	"Language"		"Schinese"
	"DOTA_TOOLTIP_ABILITY_item_greater_salve_Description" "使用后在60秒内恢复单位1000点生命值。"
	"DOTA_TOOLTIP_ABILITY_item_pudge_wars_reveal" "预示"
	"DOTA_TOOLTIP_ABILITY_item_pudge_wars_reveal_Description" "获得指定位置800范围内的视野。\n可以检测到隐形单位。\n持续30秒。"
	"DOTA_TOOLTIP_ABILITY_item_greater_salve_instant" "大治疗药水"
	"DOTA_TOOLTIP_ABILITY_item_greater_salve_instant_Description" "瞬间回复750点生命值。"

	"DOTA_TOOLTIP_ABILITY_item_tome_of_wisdom" "智慧之书"
	"DOTA_TOOLTIP_ABILITY_item_tome_of_wisdom_Description" "使帕吉直接升1级。"

	"DOTA_TOOLTIP_ABILITY_item_tome_of_damage" "能量之书"
	"DOTA_TOOLTIP_ABILITY_item_tome_of_damage_Description" "使帕吉的基础攻击力增加25点。"

	"DOTA_TOOLTIP_ABILITY_item_tome_of_health" "力量之书"
	"DOTA_TOOLTIP_ABILITY_item_tome_of_health_Description" "使帕吉的最大生命值提高100点。"

	//Fountain healing
	"DOTA_TOOLTIP_fountain_regen" "泉水治疗"
	"DOTA_TOOLTIP_fountain_regen_Description" "靠近泉水时每秒回复1%%的生命。"

	//Item modifiers tooltips
	"DOTA_TOOLTIP_MODIFIER_item_greater_salve" "治疗药膏"
	"DOTA_TOOLTIP_MODIFIER_item_greater_salve_Description" "60秒内恢复1000点生命值。"

	//Upgrade modifiers tooltips
	"DOTA_Tooltip_pudge_wars_upgrade_points_0_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_0_modifier_Description" "你有 0 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_0_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_1_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_1_modifier_Description" "你有 1 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_1_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_2_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_2_modifier_Description" "你有 2 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_2_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_3_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_3_modifier_Description" "你有 3 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_3_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_4_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_4_modifier_Description" "你有 4 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_4_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_5_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_5_modifier_Description" "你有 5 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_5_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_6_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_6_modifier_Description" "你有 6 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_6_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_7_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_7_modifier_Description" "你有 7 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_7_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_8_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_8_modifier_Description" "你有 8 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_8_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_9_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_9_modifier_Description" "你有 9 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_9_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_10_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_10_modifier_Description" "你有 10 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_10_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_11_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_11_modifier_Description" "你有 11 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_11_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_12_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_12_modifier_Description" "你有 12 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_12_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_13_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_13_modifier_Description" "你有 13 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_13_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_14_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_14_modifier_Description" "你有 14 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_14_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_15_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_15_modifier_Description" "你有 15 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_15_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_16_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_16_modifier_Description" "你有 16 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_16_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_17_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_17_modifier_Description" "你有 17 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_17_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_18_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_18_modifier_Description" "你有 18 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_18_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_19_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_19_modifier_Description" "你有 19 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_19_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_20_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_20_modifier_Description" "你有 20 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_20_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_21_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_21_modifier_Description" "你有 21 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_21_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_22_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_22_modifier_Description" "你有 22 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_22_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_23_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_23_modifier_Description" "你有 23 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_23_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_24_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_24_modifier_Description" "你有 24 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_24_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_25_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_25_modifier_Description" "你有 25 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_25_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_26_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_26_modifier_Description" "你有 26 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_26_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_27_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_27_modifier_Description" "你有 27 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_27_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_28_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_28_modifier_Description" "你有 28 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_28_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_29_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_29_modifier_Description" "你有 29 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_29_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_30_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_30_modifier_Description" "你有 30 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_30_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_31_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_31_modifier_Description" "你有 31 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_31_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_32_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_32_modifier_Description" "你有 32 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_32_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_33_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_33_modifier_Description" "你有 33 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_33_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_34_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_34_modifier_Description" "你有 34 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_34_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_35_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_35_modifier_Description" "你有 35 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_35_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_36_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_36_modifier_Description" "你有 36 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_36_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_37_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_37_modifier_Description" "你有 37 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_37_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_38_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_38_modifier_Description" "你有 38 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_38_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_39_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_39_modifier_Description" "你有 39 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_39_modifier_Lore" "升级时获得一点技能点。"
	"DOTA_Tooltip_pudge_wars_upgrade_points_40_modifier" "技能点"
	"DOTA_Tooltip_pudge_wars_upgrade_points_40_modifier_Description" "你有 40 技能点可以使用"
	"DOTA_Tooltip_pudge_wars_upgrade_points_40_modifier_Lore" "升级时获得一点技能点。"


	//Upgrade tooltips
//Upgrade tooltips
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage" "升级肉钩伤害"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_Description" "当前等级: <font color='#FBAF40'>0</font>\n当前伤害: <font color='#FBAF40'>250</font>\n伤害升级: <font color='#FBAF40'>35</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_Lore" "升级肉钩的伤害，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_1" "升级肉钩伤害 1"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_1_Description" "当前等级: <font color='#FBAF40'>1</font>\n当前伤害: <font color='#FBAF40'>285</font>\n伤害升级: <font color='#FBAF40'>35</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_1_Lore" "升级肉钩的伤害，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_2" "升级肉钩伤害 2"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_2_Description" "当前等级: <font color='#FBAF40'>2</font>\n当前伤害: <font color='#FBAF40'>320</font>\n伤害升级: <font color='#FBAF40'>35</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_2_Lore" "升级肉钩的伤害，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_3" "升级肉钩伤害 3"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_3_Description" "当前等级: <font color='#FBAF40'>3</font>\n当前伤害: <font color='#FBAF40'>355</font>\n伤害升级: <font color='#FBAF40'>35</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_3_Lore" "升级肉钩的伤害，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_4" "升级肉钩伤害 4"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_4_Description" "当前等级: <font color='#FBAF40'>4</font>\n当前伤害: <font color='#FBAF40'>390</font>\n伤害升级: <font color='#FBAF40'>35</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_4_Lore" "升级肉钩的伤害，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_5" "升级肉钩伤害 5"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_5_Description" "当前等级: <font color='#FBAF40'>5</font>\n当前伤害: <font color='#FBAF40'>425</font>\n伤害升级: <font color='#FBAF40'>35</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_5_Lore" "升级肉钩的伤害，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_6" "升级肉钩伤害 6"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_6_Description" "当前等级: <font color='#FBAF40'>6</font>\n当前伤害: <font color='#FBAF40'>460</font>\n伤害升级: <font color='#FBAF40'>35</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_6_Lore" "升级肉钩的伤害，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_7" "升级肉钩伤害 7"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_7_Description" "当前等级: <font color='#FBAF40'>7</font>\n当前伤害: <font color='#FBAF40'>495</font>\n伤害升级: <font color='#FBAF40'>35</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_7_Lore" "升级肉钩的伤害，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_8" "升级肉钩伤害 8"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_8_Description" "当前等级: <font color='#FBAF40'>8</font>\n当前伤害: <font color='#FBAF40'>520</font>\n伤害升级: <font color='#FBAF40'>35</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_8_Lore" "升级肉钩的伤害，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_9" "升级肉钩伤害 9"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_9_Description" "当前等级: <font color='#FBAF40'>9</font>\n当前伤害: <font color='#FBAF40'>555</font>\n伤害升级: <font color='#FBAF40'>35</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_9_Lore" "升级肉钩的伤害，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_10" "升级肉钩伤害 10"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_10_Description" "当前等级: <font color='#FBAF40'>10</font>\n当前伤害: <font color='#FBAF40'>590</font>\n伤害升级: <font color='#FBAF40'>35</font>\n当前等级已经是最高等级。"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_damage_10_Lore" "升级肉钩的伤害，当你有技能点时才可以升级。"


	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range" "升级肉钩距离"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_Description" "当前等级: <font color='#FBAF40'>0</font>\n当前距离: <font color='#FBAF40'>1500</font>\n距离升级: <font color='#FBAF40'>175</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_Lore" "升级肉钩的距离，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_1" "升级肉钩距离 1"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_1_Description" "当前等级: <font color='#FBAF40'>1</font>\n当前距离: <font color='#FBAF40'>1675</font>\n距离升级: <font color='#FBAF40'>175</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_1_Lore" "升级肉钩的距离，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_2" "升级肉钩距离 2"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_2_Description" "当前等级: <font color='#FBAF40'>2</font>\n当前距离: <font color='#FBAF40'>1850</font>\n距离升级: <font color='#FBAF40'>175</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_2_Lore" "升级肉钩的距离，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_3" "升级肉钩距离 3"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_3_Description" "当前等级: <font color='#FBAF40'>3</font>\n当前距离: <font color='#FBAF40'>2025</font>\n距离升级: <font color='#FBAF40'>175</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_3_Lore" "升级肉钩的距离，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_4" "升级肉钩距离 4"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_4_Description" "当前等级: <font color='#FBAF40'>4</font>\n当前距离: <font color='#FBAF40'>2200</font>\n距离升级: <font color='#FBAF40'>175</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_4_Lore" "升级肉钩的距离，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_5" "升级肉钩距离 5"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_5_Description" "当前等级: <font color='#FBAF40'>5</font>\n当前距离: <font color='#FBAF40'>2375</font>\n距离升级: <font color='#FBAF40'>175</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_5_Lore" "升级肉钩的距离，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_6" "升级肉钩距离 6"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_6_Description" "当前等级: <font color='#FBAF40'>6</font>\n当前距离: <font color='#FBAF40'>2550</font>\n距离升级: <font color='#FBAF40'>175</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_6_Lore" "升级肉钩的距离，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_7" "升级肉钩距离 7"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_7_Description" "当前等级: <font color='#FBAF40'>7</font>\n当前距离: <font color='#FBAF40'>2725</font>\n距离升级: <font color='#FBAF40'>175</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_7_Lore" "升级肉钩的距离，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_8" "升级肉钩距离 8"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_8_Description" "当前等级: <font color='#FBAF40'>8</font>\n当前距离: <font color='#FBAF40'>2900</font>\n距离升级: <font color='#FBAF40'>175</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_8_Lore" "升级肉钩的距离，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_9" "升级肉钩距离 9"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_9_Description" "当前等级: <font color='#FBAF40'>9</font>\n当前距离: <font color='#FBAF40'>3075</font>\n距离升级: <font color='#FBAF40'>175</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_9_Lore" "升级肉钩的距离，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_10" "升级肉钩距离 10"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_10_Description" "当前等级: <font color='#FBAF40'>10</font>\n当前距离: <font color='#FBAF40'>3250</font>\n距离升级: <font color='#FBAF40'>175</font>\n 当前等级已经是最高等级。"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_range_10_Lore" "升级肉钩的距离，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed" "升级肉钩速度"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_Description" "当前等级: <font color='#FBAF40'>0</font>\n当前速度: <font color='#FBAF40'>800</font>\n速度升级: <font color='#FBAF40'>70</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_Lore" "升级肉钩的速度，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_1" "升级肉钩速度 1"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_1_Description" "当前等级: <font color='#FBAF40'>1</font>\n当前速度: <font color='#FBAF40'>870</font>\n速度升级: <font color='#FBAF40'>70</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_1_Lore" "升级肉钩的速度，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_2" "升级肉钩速度 2"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_2_Description" "当前等级: <font color='#FBAF40'>2</font>\n当前速度: <font color='#FBAF40'>940</font>\n速度升级: <font color='#FBAF40'>70</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_2_Lore" "升级肉钩的速度，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_3" "升级肉钩速度 3"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_3_Description" "当前等级: <font color='#FBAF40'>3</font>\n当前速度: <font color='#FBAF40'>1100</font>\n速度升级: <font color='#FBAF40'>70</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_3_Lore" "升级肉钩的速度，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_4" "升级肉钩速度 4"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_4_Description" "当前等级: <font color='#FBAF40'>4</font>\n当前速度: <font color='#FBAF40'>1170</font>\n速度升级: <font color='#FBAF40'>70</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_4_Lore" "升级肉钩的速度，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_5" "升级肉钩速度 5"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_5_Description" "当前等级: <font color='#FBAF40'>5</font>\n当前速度: <font color='#FBAF40'>1240</font>\n速度升级: <font color='#FBAF40'>70</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_5_Lore" "升级肉钩的速度，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_6" "升级肉钩速度 6"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_6_Description" "当前等级: <font color='#FBAF40'>6</font>\n当前速度: <font color='#FBAF40'>1310</font>\n速度升级: <font color='#FBAF40'>70</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_6_Lore" "升级肉钩的速度，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_7" "升级肉钩速度 7"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_7_Description" "当前等级: <font color='#FBAF40'>7</font>\n当前速度: <font color='#FBAF40'>1380</font>\n速度升级: <font color='#FBAF40'>70</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_7_Lore" "升级肉钩的速度，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_8" "升级肉钩速度 8"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_8_Description" "当前等级: <font color='#FBAF40'>8</font>\n当前速度: <font color='#FBAF40'>1450</font>\n速度升级: <font color='#FBAF40'>70</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_8_Lore" "升级肉钩的速度，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_9" "升级肉钩速度 9"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_9_Description" "当前等级: <font color='#FBAF40'>9</font>\n当前速度: <font color='#FBAF40'>1520</font>\n速度升级: <font color='#FBAF40'>70</font>"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_9_Lore" "升级肉钩的速度，当你有技能点时才可以升级。"

	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_10" "升级肉钩速度 10"
	"DOTA_Tooltip_ability_pudge_wars_upgrade_hook_speed_10_Description" "当前等级: <font color='#FBAF40'>10</font>\n当前速度: <font color='#FBAF40'>1590</font>\n速度升级: <font color='#FBAF40'>70</font>\n 当前等级已经是最高等级。"
